"INSEE_COM","CITY","MED16"
75056,"Paris",26.808
75101,"Paris 1er Arrondissement",32.6973333333333
75102,"Paris 2e Arrondissement",30.5665
75103,"Paris 3e Arrondissement",31.333
75104,"Paris 4e Arrondissement",31.0072222222222
75105,"Paris 5e Arrondissement",33.1693333333333
75106,"Paris 6e Arrondissement",39.0626666666667
75107,"Paris 7e Arrondissement",42.4655555555556
75108,"Paris 8e Arrondissement",40.54
75109,"Paris 9e Arrondissement",33.258
75110,"Paris 10e Arrondissement",25.618
75111,"Paris 11e Arrondissement",26.8103333333333
75112,"Paris 12e Arrondissement",27.11
75113,"Paris 13e Arrondissement",23.7506847826087
75114,"Paris 14e Arrondissement",27.2876
75115,"Paris 15e Arrondissement",30.448
75116,"Paris 16e Arrondissement",38.387
75117,"Paris 17e Arrondissement",30.2815
75118,"Paris 18e Arrondissement",21.5417391304348
75119,"Paris 19e Arrondissement",19.6106666666667
75120,"Paris 20e Arrondissement",21.0173333333333
77001,"Achères-la-Forêt",28.596
77002,"Amillis",22.8766666666667
77003,"Amponville",25.60625
77004,"Andrezel",26.8713043478261
77005,"Annet-sur-Marne",26.606
77006,"Arbonne-la-Forêt",26.0923333333333
77007,"Argentières",26.3872
77008,"Armentières-en-Brie",20.22
77009,"Arville",23.276
77010,"Aubepierre-Ozouer-le-Repos",24.5133333333333
77011,"Aufferville",23.3115384615385
77012,"Augers-en-Brie",22.286
77013,"Aulnoy",26.01
77014,"Avon",22.1165
77015,"Baby",NA
77016,"Bagneaux-sur-Loing",18.7566666666667
77018,"Bailly-Romainvilliers",24.604
77019,"Balloy",24.2886666666667
77020,"Bannost-Villegagnon",23.6466666666667
77021,"Barbey",22.2356666666667
77022,"Barbizon",32.8873333333333
77023,"Barcy",22.6071428571429
77024,"Bassevelle",22.0222222222222
77025,"Bazoches-lès-Bray",21.6173076923077
77026,"Beauchery-Saint-Martin",20.3706666666667
77027,"Beaumont-du-Gâtinais",20.7828571428571
77029,"Beauvoir",23.6395
77030,"Bellot",22.0105555555556
77031,"Bernay-Vilbert",25.9761904761905
77032,"Beton-Bazoches",20.56
77033,"Bezalles",22.9373333333333
77034,"Blandy",26.9208
77035,"Blennes",23.3914285714286
77036,"Boisdon",24.3366666666667
77037,"Bois-le-Roi",30.6980952380952
77038,"Boissettes",29.4175
77039,"Boissise-la-Bertrand",29.5833333333333
77040,"Boissise-le-Roi",27.5983333333333
77041,"Boissy-aux-Cailles",25.934
77042,"Boissy-le-Châtel",23.444
77043,"Boitron",23.7213333333333
77044,"Bombon",24.474
77045,"Bougligny",22.691
77046,"Boulancourt",23.4909523809524
77047,"Bouleurs",24.7647619047619
77048,"Bourron-Marlotte",26.9096428571429
77049,"Boutigny",28.0857142857143
77050,"Bransles",22.21
77051,"Bray-sur-Seine",19.2226666666667
77052,"Bréau",24.7529166666667
77053,"Brie-Comte-Robert",23.2964
77054,"La Brosse-Montceaux",23.2986666666667
77055,"Brou-sur-Chantereine",21.3
77056,"Burcy",19.539
77057,"Bussières",20.197
77058,"Bussy-Saint-Georges",24.0166666666667
77059,"Bussy-Saint-Martin",29.208
77060,"Buthiers",24.0195238095238
77061,"Cannes-Écluse",22.0744
77062,"Carnetin",26.6613333333333
77063,"La Celle-sur-Morin",24.806
77065,"Cély",28.9436666666667
77066,"Cerneux",22.2538461538462
77067,"Cesson",25.4266666666667
77068,"Cessoy-en-Montois",24.8112666666667
77069,"Chailly-en-Bière",25.4576
77070,"Chailly-en-Brie",23.0746666666667
77071,"Chaintreaux",23.2502857142857
77072,"Chalautre-la-Grande",20.168
77073,"Chalautre-la-Petite",24.3648148148148
77075,"Chalifert",26.6774166666667
77076,"Chalmaison",22.197
77077,"Chambry",23.6806666666667
77078,"Chamigny",23.585380952381
77079,"Champagne-sur-Seine",19.7242857142857
77080,"Champcenest",23.5842857142857
77081,"Champdeuil",24.2913333333333
77082,"Champeaux",24.0842857142857
77083,"Champs-sur-Marne",22.058
77084,"Changis-sur-Marne",24.3241666666667
77085,"Chanteloup-en-Brie",25.7006666666667
77086,"La Chapelle-Gauthier",23.0354166666667
77087,"La Chapelle-Iger",27.2406666666667
77088,"La Chapelle-la-Reine",22.5153333333333
77089,"La Chapelle-Rablais",24.636
77090,"La Chapelle-Saint-Sulpice",22.9093548387097
77091,"Les Chapelles-Bourbon",26.7304761904762
77093,"La Chapelle-Moutils",19.8086666666667
77094,"Charmentray",25.6514285714286
77095,"Charny",25.8566666666667
77096,"Chartrettes",28.6646428571429
77097,"Chartronges",23.1828571428571
77098,"Châteaubleau",22.7452380952381
77099,"Château-Landon",20.0655555555556
77100,"Le Châtelet-en-Brie",24.542
77101,"Châtenay-sur-Seine",21.76875
77102,"Châtenoy",22.4135714285714
