"Department","Year","Metropole","Main river","Unemployment rate","Median income","Share single parents","PM2.5 concentration","Population","Log population","Log median income"
"Ain",2012,0,1,6.85,21122,11.5336362255824,13.9460600682252,629786,13.3531353581229,9.95807043030642
"Ain",2013,0,1,7.225,21489.6666666667,11.7018772937586,14.4358310985877,636916,13.3643930577271,9.97532747842583
"Ain",2014,0,1,7.125,21699.6,11.9965098266216,11.0453315429166,643309,13.3743804476634,9.98504910617893
"Ain",2015,0,1,7.375,22020.4761904762,12.1458073033404,12.4479928710012,649012,13.3832064854999,9.99972803540507
"Ain",2016,0,1,7.35,22272,12.6026249223401,11.0501338103468,655171,13.3926515492472,10.0110855631341
"Ain",2017,0,1,6.775,22640,12.8581238191692,10.4372435310856,659180,13.3987519173113,10.0274735323171
"Aisne",2012,0,0,13.825,17765.5555555556,13.8755116729879,14.2805811609969,555400,13.2274438538548,9.78501678044325
"Aisne",2013,0,0,14.325,18300,14.0048349011418,14.509823272198,554512,13.2258437266565,9.81465633882951
"Aisne",2014,0,0,14.05,18477.6,13.9846635528945,11.3161119040008,554040,13.224992165289,9.82431446663195
"Aisne",2015,0,0,14.025,18604.2857142857,14.3987609855649,11.6167516010412,552529,13.2222611996843,9.83114724790644
"Aisne",2016,0,0,13.775,18818,14.8212680716539,10.7460370927703,549587,13.2169223660443,9.84256913756671
"Aisne",2017,0,0,13.175,19100,15.2637365323334,10.099512093085,546527,13.2113389906848,9.85744361403472
"Allier",2012,0,1,9.925,18491.6666666667,13.130808816623,11.636536456597,353246,12.7749199770573,9.82507545913269
"Allier",2013,0,1,10.375,18966.1904761905,13.4011029651256,12.6213515692795,353742,12.7763231128429,9.85041322442765
"Allier",2014,0,1,10.475,19102,13.5323387093633,9.24073258089663,353262,12.7749652702458,9.85754832059468
"Allier",2015,0,1,10.75,19313.3333333333,13.7176128754383,10.2695722766778,351626,12.770323389727,9.86855098265523
"Allier",2016,0,1,10.55,19476.1111111111,13.7973971755089,9.46104092607358,349336,12.7637894887537,9.87694392231359
"Allier",2017,0,1,9.9,19750,13.9044386801103,8.68954444885033,347035,12.7571809183958,9.89090877032927
"Alpes-de-Haute-Provence",2012,0,0,10.925,18658,14.2785521657027,12.957888057562,166316,12.0216448722186,9.83403028752091
"Alpes-de-Haute-Provence",2013,0,0,11.475,19003.3333333333,14.4545472950064,12.0243431935684,166726,12.0241070253833,9.85236968135752
"Alpes-de-Haute-Provence",2014,0,0,11.55,19149.3333333333,14.6731530306851,10.9266277488256,166298,12.0215366386505,9.86002318112204
"Alpes-de-Haute-Provence",2015,0,0,11.7,19498.0952380952,15.236047043861,11.7408554435064,166635,12.0235610706839,9.87807205968315
"Alpes-de-Haute-Provence",2016,0,0,11.45,19718.8,15.8381861707668,11.3032999130687,167331,12.0277291656854,9.8893277743781
"Alpes-de-Haute-Provence",2017,0,0,11.075,19940,16.1818805642679,11.559664933841,168381,12.0339845478216,9.90048304351583
"Alpes-Maritimes",2012,1,0,9.4,20162.1739130435,16.7596234787146,16.4765758339819,1098465,13.9094243086697,9.91156354936001
"Alpes-Maritimes",2013,1,0,10.125,20308.6666666667,16.8785999846264,13.8466611213041,1096741,13.9078536129314,9.9188030033139
"Alpes-Maritimes",2014,1,0,10.35,20532.6086956522,17.0375629768757,12.3663199531677,1098785,13.9097155818542,9.92976956943461
"Alpes-Maritimes",2015,1,0,10.625,20987.6,17.3509553793239,13.9312461010255,1097556,13.9085964476867,9.95168706611536
"Alpes-Maritimes",2016,1,0,10.4,21246,17.6719795481715,13.9328479322446,1098539,13.9094916731352,9.96392392133996
"Alpes-Maritimes",2017,1,0,9.9,21590,17.8910831081937,14.4516746476556,1097496,13.9085417792779,9.97998552350885
"Ardeche",2012,0,1,9.975,18663.3333333333,12.2541530184467,12.8874604662787,328189,12.7013449409278,9.83431609367483
"Ardeche",2013,0,1,10.55,19154,12.6143345010269,12.7531467422061,330017,12.7068994472673,9.86026685008157
"Ardeche",2014,0,1,10.45,19384.375,12.8319782670482,10.3492251795202,332051,12.713043850559,9.87222260816148
"Ardeche",2015,0,1,10.675,19613,12.959034099373,11.4150853909547,333781,12.7182403682783,9.88394789066151
"Ardeche",2016,0,1,10.6,19878.0952380952,13.2010717376955,9.91682480333124,334591,12.7206641693847,9.89737366264713
"Ardeche",2017,0,1,10.05,20150,13.4572198442236,9.5025300393747,334688,12.720954033554,9.91095956737483
"Ardennes",2012,0,1,11.825,17622.5833333333,13.747964724923,12.7838363720517,291031,12.5811850696894,9.77693650243999
"Ardennes",2013,0,1,12.5,18171,13.7824489364427,13.4913589701967,289075,12.5744414489972,9.80758219564906
"Ardennes",2014,0,1,12.225,18310.7142857143,13.9798113038036,10.4343955826208,287775,12.5699342037833,9.81524164759659
"Ardennes",2015,0,1,12.5,18541.1805555556,14.1149285895051,10.6107246854211,285612,12.5623895253716,9.82774951322829
"Ardennes",2016,0,1,12,18772.3333333333,14.5187338877084,10.0189060787156,283004,12.5532163108011,9.84013943369962
"Ardennes",2017,0,1,11.075,19040,14.7948062772289,9.47974568120513,280032,12.5426591613356,9.85429730834536
"Ariege",2012,0,0,11.65,18084,14.4776953001351,10.5144647189172,158154,11.9713245208578,9.8027828484145
"Ariege",2013,0,0,12.375,18522.6086956522,14.9860253778756,9.20604385256833,158379,11.9727461738159,9.82674735657713
"Ariege",2014,0,0,12.2,18686.1538461538,15.4109109618161,8.67643266157351,158076,11.9708312090178,9.83553809254997
"Ariege",2015,0,0,12.375,18715.5555555556,16.1311503041925,9.81523862543171,157904,11.9697425324118,9.83711030493964
"Ariege",2016,0,0,12.075,18934,16.623971532205,8.24402065823613,158205,11.9716469393788,9.84871452668884
"Ariege",2017,0,0,11.575,19190,16.6283626755052,8.44374427888546,157210,11.9653377701856,9.86214458900175
"Aube",2012,0,0,10.775,18693.3333333333,14.6314311812723,13.4915937666948,313892,12.6568042566818,9.83592223304036
"Aube",2013,0,0,11.75,19120.7407407407,14.8282529542159,14.1983187537561,314825,12.659772207874,9.85852892752549
"Aube",2014,0,0,12.15,19255.3333333333,15.089800321414,11.0954756758916,316098,12.663807571072,9.86554335761998
"Aube",2015,0,0,12.75,19481,15.5253185375623,11.8180153093552,316888,12.6663036781271,9.8771949105812
"Aube",2016,0,0,12.65,19614,16.0032320629434,10.2176599171463,316639,12.6655176026707,9.88399887595227
"Aube",2017,0,0,11.95,19820,16.6742474166871,9.7156369610521,317118,12.667029223343,9.89444680788398
"Aude",2012,0,0,12.825,17230.6666666667,14.635527728844,12.4568181809458,372259,12.8273451275542,9.75444602097697
"Aude",2013,0,0,13.675,17653.3333333333,14.9926548178271,11.1765151605939,374868,12.834329242986,9.77867990194278
"Aude",2014,0,0,13.9,17793.4782608696,15.0768857961782,9.72315609216554,375065,12.8348546232654,9.78658727930423
"Aude",2015,0,0,13.975,18130,15.5783732225864,10.8897512978728,376667,12.8391167869758,9.8053233037489
"Aude",2016,0,0,13.3,18339.2307692308,15.919675249933,9.45849057570262,377580,12.841537745749,9.8167978021408
"Aude",2017,0,0,12.4,18560,16.3934645739909,9.55738994215065,379094,12.8455394744206,9.82876400634019
"Aveyron",2012,0,0,6.825,18670.4166666667,10.3670313997633,11.813560173084,287806,12.5700419210291,9.83469555373005
"Aveyron",2013,0,0,7.5,19134,10.4793065397929,11.1475565460464,289257,12.5750708452817,9.85922213623811
"Aveyron",2014,0,0,7.325,19424,10.8567070944443,9.19085218765817,289901,12.5772947643691,9.87426469385922
"Aveyron",2015,0,0,7.45,19565,10.9505835305349,10.2897314211664,290199,12.5783221735269,9.88149753464451
"Aveyron",2016,0,0,7.3,19874.7826086956,11.2971868466383,9.14373990638191,289481,12.5758449434442,9.89720700153545
"Aveyron",2017,0,0,6.9,20090,11.6688800348907,8.55048466157258,289488,12.5758691243589,9.90797745780898
"Bas-Rhin",2012,1,1,8.25,21182.2580645161,13.216779634358,13.9311861000503,1124434,13.9327903559067,9.96091922652816
"Bas-Rhin",2013,1,1,8.8,21495.3333333333,13.3976659648773,14.6414280797481,1128825,13.9366878266887,9.9755911362925
"Bas-Rhin",2014,1,1,8.8,21647,13.5529752744884,12.4503578743158,1131812,13.9393304462143,9.98262215569986
"Bas-Rhin",2015,1,1,8.975,21512.4242424242,13.6973934554961,12.8399113877419,1134800,13.9419669819168,9.97638591895284
"Bas-Rhin",2016,1,1,8.75,21772,14.0044983972048,11.8333674172764,1139258,13.9458877312652,9.98838001955409
"Bas-Rhin",2017,1,1,8.1,22090,14.1099443565841,11.4480402152719,1141511,13.9478633813488,10.0028802964142
"Bouches-du-Rhone",2012,1,1,11.725,19424.7142857143,18.4459799909458,15.7898215246529,2014702,14.5159818516071,9.87430146654154
"Bouches-du-Rhone",2013,1,1,12.05,19784.2857142857,18.7052293095814,14.7214172175041,2022604,14.5198963481008,9.89264325078145
"Bouches-du-Rhone",2014,1,1,11.875,19955.3333333333,18.8572848433141,12.848224068261,2035475,14.5262397648552,9.90125172159455
"Bouches-du-Rhone",2015,1,1,11.9,20287,19.1667626734132,14.432302520814,2045149,14.5309812054405,9.91773556580133
"Bouches-du-Rhone",2016,1,1,11.65,20523.5714285714,19.414190157824,12.5743064117802,2047433,14.5320973713412,9.9293293303671
"Bouches-du-Rhone",2017,1,1,11.225,20800,19.7494279624706,12.4432408614596,2048504,14.5326203286154,9.94270826568941
"Calvados",2012,0,1,9.35,19402.6666666667,13.1865791353616,12.7787799577568,704567,13.4653387087087,9.87316579264974
"Calvados",2013,0,1,9.75,19850,13.481480181811,12.9942774165257,706635,13.4682695456553,9.89595928611534
"Calvados",2014,0,1,9.725,20045.7142857143,13.5115934162259,10.4145969523843,708407,13.4707740662649,9.9057706585507
"Calvados",2015,0,1,9.9,20276.1904761905,13.8636402372505,10.2533914252997,709986,13.4730005305132,9.91720259371809
"Calvados",2016,0,1,9.4,20556,14.038383519421,10.3818155500624,709715,13.4726187599809,9.93090814811212
"Calvados",2017,0,1,8.7,20880,14.2151633754524,9.21212780979464,708344,13.4706851303827,9.94654704199658
"Cantal",2012,0,1,6.475,18214,10.8342125531618,11.4451432144991,153268,11.9399433020398,9.80994580812776
"Cantal",2013,0,1,6.8,18710.6666666667,10.9932805665545,11.3139112123957,152797,11.936865522014,9.83684905020292
"Cantal",2014,0,1,6.525,19030,11.1752598282625,9.27966357599806,152400,11.9342639222347,9.8537719602902
"Cantal",2015,0,1,6.55,19260.4444444444,11.3152114587163,10.3186088820121,151920,11.9311093454862,9.86580876112141
"Cantal",2016,0,1,6.25,19573.8095238095,11.399372198522,9.16241856158945,151615,11.9290996918867,9.88194770285686
"Cantal",2017,0,1,5.675,19880,11.5802384369323,8.52920143379192,150185,11.9196231464809,9.89746948021057
"Charente",2012,0,0,10.125,18756.9230769231,12.467925492726,12.9536567728041,366776,12.8125065864713,9.83931819401888
"Charente",2013,0,0,10.35,19265.3333333333,12.9454424612051,13.4799420712393,366587,12.8119911527661,9.86606255944539
