"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
1,"Fri","2020-08-21","19:00","Bordeaux",0.4,"0-0",0.3,"Nantes",NA,"Stade Matmut-Atlantique","Benoît Bastien","Match Report",NA
1,"Sat","2020-08-22","17:00","Dijon",0.5,"0-1",2.1,"Angers",NA,"Stade Gaston Gérard","Eric Wattellier","Match Report",NA
1,"Sat","2020-08-22","21:00","Lille",0.5,"1-1",1.4,"Rennes",3975,"Stade Pierre-Mauroy","Clément Turpin","Match Report",NA
1,"Sun","2020-08-23","13:00","Monaco",2,"2-2",1.3,"Reims",NA,"Stade Louis II.","François Letexier","Match Report",NA
1,"Sun","2020-08-23","15:00","Nîmes",1.1,"4-0",0.4,"Brest",NA,"Stade des Costières","Jérémie Pignard","Match Report",NA
1,"Sun","2020-08-23","15:00","Lorient",2.8,"3-1",0.5,"Strasbourg",NA,"Stade Yves Allainmat - Le Moustoir","Johan Hamel","Match Report",NA
1,"Sun","2020-08-23","17:00","Nice",0.2,"2-1",2.5,"Lens",NA,"Stade de Nice","Jérôme Miguelgorry","Match Report",NA
2,"Fri","2020-08-28","21:00","Lyon",4.9,"4-1",0.4,"Dijon",NA,"Groupama Stadium","Benoît Millot","Match Report",NA
2,"Sat","2020-08-29","17:00","Rennes",1.9,"2-1",0.5,"Montpellier",NA,"Roazhon Park","Willy Delajod","Match Report",NA
2,"Sat","2020-08-29","21:00","Strasbourg",0.2,"0-2",1.4,"Nice",NA,"Stade de la Meinau","Jérôme Brisard","Match Report",NA
2,"Sun","2020-08-30","13:00","Reims",0.2,"0-1",1.1,"Lille",NA,"Stade Auguste-Delaune II","Stéphanie Frappart","Match Report",NA
2,"Sun","2020-08-30","15:00","Metz",0.7,"0-1",0.3,"Monaco",4463,"Stade Saint-Symphorien","Jeremy Stinat","Match Report",NA
2,"Sun","2020-08-30","15:00","Angers",0.9,"0-2",2.1,"Bordeaux",NA,"Stade Raymond Kopa","Karim Abed","Match Report",NA
2,"Sun","2020-08-30","15:00","Nantes",2.3,"2-1",1.4,"Nîmes",NA,"Stade de la Beaujoire - Louis Fonteneau","Hakim Ben El Hadj Salem","Match Report",NA
2,"Sun","2020-08-30","15:00","Saint-Étienne",1.3,"2-0",0.2,"Lorient",NA,"Stade Geoffroy-Guichard","Florent Batta","Match Report",NA
